y,n,p,m,log_n,r_2y_minus_log_n,K_center,K_tail_low,K_tail_high,term_center,term_tail_low,term_tail_high
1.75000000000000000000E+0,41,41,1,3.713572066704307803866763373037E+0,-2.135720667043078038667633730374E-1,7.023121604026027627973572502654E-1,7.022771606469368157942771795051E-1,7.023471607046484123046678066720E-1,4.073147301642079981716101850160E-1,4.072944316177230331915468306621E-1,4.073350290275727121298689601860E-1
1.75000000000000000000E+0,43,43,1,3.761200115693562423472842513346E+0,-2.612001156935624234728425133458E-1,5.905333139815328581116490744692E-1,5.904970518300251147588947463853E-1,5.905695771640213981582911441224E-1,3.387167047981846309693890243476E-1,3.386959056388877865377332807540E-1,3.387375045488290080438539394264E-1
1.75000000000000000000E+0,47,47,1,3.850147601710058586820950669772E+0,-3.501476017100585868209506697722E-1,3.840138736819284570886128709863E-1,3.839802293518191116648035883641E-1,3.840475196411699229757528929886E-1,2.156628624046164622478732829144E-1,2.156439676900440477942075439595E-1,2.156817580341123219555911197404E-1
1.75000000000000000000E+0,49,7,2,3.891820298110626610210705486886E+0,-3.918202981106266102107054868864E-1,2.960210046747022614311087950930E-1,2.959903852257094441960409488018E-1,2.960516259702690095019512956718E-1,8.229003961857906774588724651780E-2,8.228152780478569566749511247679E-2,8.229855194569629025203624617185E-2
1.75000000000000000000E+0,53,53,1,3.970291913552121834144469139029E+0,-4.702919135521218341444691390291E-1,1.583851152622024795698101979566E-1,1.583626592088855644195527149742E-1,1.584075734215786612923124763583E-1,8.637714978429948405748729583900E-2,8.636490311656364102364054617609E-2,8.638939760059904421946473853197E-2
1.75000000000000000000E+0,59,59,1,4.077537443905719450616050373720E+0,-5.775374439057194506160503737197E-1,4.559818140793645710443804483237E-2,4.558821730340005935903353643887E-2,4.560814714066784243205217190853E-2,2.420580186444952814686836145639E-2,2.420051241796904357469402667859E-2,2.421109217525758125766707314336E-2
1.75000000000000000000E+0,61,61,1,4.110873864173311248751389103426E+0,-6.108738641733112487513891034256E-1,2.730422406257112451046723548968E-2,2.729734387594244146446308087391E-2,2.731110557310727123322041277353E-2,1.437139985762692954229132931402E-2,1.436777851636818104839894156130E-2,1.437502189571571764448099472868E-2
1.75000000000000000000E+0,64,2,6,4.158883083359671856503392728749E+0,-6.588830833596718565033927287491E-1,1.126116764665834904041123544600E-2,1.125762920451049103955661246641E-2,1.126470696145242487202603322480E-2,9.757058255117636328905233534858E-4,9.753992428619683515885037494902E-4,9.760124837705921036539540666563E-4
1.75000000000000000000E+0,67,67,1,4.204692619390966059670071996364E+0,-7.046926193909660596700719963637E-1,3.902293681475142601817561088518E-3,3.900747681848894395458811991868E-3,3.903840175760592629434387895420E-3,2.004549577579307521751127503063E-3,2.003755420821592117076684361407E-3,2.005343988436015722295320829246E-3
1.75000000000000000000E+0,71,71,1,4.262679877041315421329454532513E+0,-7.626798770413154213294545325130E-1,6.595851112470621026209102949852E-4,6.592211153120948439211159614511E-4,6.599492748485984258611003720592E-4,3.336755524877213066685476514013E-4,3.334914116655098263628755664364E-4,3.338597781302753210180273949161E-4
1.75000000000000000000E+0,73,73,1,4.290459441148391129092108857439E+0,-7.904594411483911290921088574385E-1,2.195000166185960088041597067552E-4,2.193547569318844022230995385349E-4,2.196453576046268393868719483387E-4,1.102241930956087590852451725521E-4,1.101512494484794344635073996626E-4,1.102971775680282077566040941084E-4
1.75000000000000000000E+0,79,79,1,4.369447852467021494172945541481E+0,-8.694478524670214941729455414814E-1,1.906144532062958522372661035837E-6,1.903706560505150282424618440949E-6,1.908585244849261238596336116747E-6,9.370631132784910865251706097113E-7,9.358646033126325554395982013900E-7,9.382629708358171238152951435971E-7
1.75000000000000000000E+0,81,3,4,4.394449154672438765580980947690E+0,-8.944491546724387655809809476901E-1,1.706631931828241490713732120959E-7,1.703734435879503926695006046465E-7,1.709533804369145887337473742627E-7,2.083252013933224156031757364549E-8,2.079715097649169543762547192600E-8,2.086794272637208735956024287539E-8
1.75000000000000000000E+0,83,83,1,4.418840607796597923475472223291E+0,-9.188406077965979234754722232914E-1,6.838399307509486250048554732336E-9,6.822053172444819082700311769228E-9,6.854780652495565177816868776819E-9,3.316834077087829577903116273844E-9,3.308905698621887952588604244287E-9,3.324779533449041499171635425735E-9
1.75000000000000000000E+0,89,89,1,4.488636369732139838317815540670E+0,-9.886363697321398383178155406698E-1,9.963521257646693295186114977705E-23,9.704685197188453754152350377819E-23,1.022883751519435676270683412757E-22,4.740588650925438625783396261362E-23,4.617435876025011775468315522518E-23,4.866824667983281110505759250115E-23
2.00000000000000000000E+0,23,23,1,3.135494215929149690806752831810E+0,8.645057840708503091932471681898E-1,2.855616326138782564702439031536E-6,2.852142504231006824373641895459E-6,2.859093854417005764431198074308E-6,1.866989786858940260347485868173E-6,1.864718616896848879632321807959E-6,1.869263380030238138014505205525E-6
2.00000000000000000000E+0,25,5,2,3.218875824868200749201518666452E+0,7.811241751317992507984813335476E-1,3.249681893122497733770402962721E-4,3.247663011826704820486205924816E-4,3.251701830556526752185854153604E-4,1.046032248428393608000390050615E-4,1.045382395608762968426931387945E-4,1.046682441205807839348941131951E-4
2.00000000000000000000E+0,27,3,3,3.295836866004329074185735710768E+0,7.041631339956709258142642892324E-1,3.956243062222869895349966583332E-3,3.954680086735135316218912408533E-3,3.957806536231205064912591657564E-3,8.364606908224617899890332221236E-4,8.361302339886305345184615592372E-4,8.367912530575233037460416709094E-4
2.00000000000000000000E+0,29,29,1,3.367295829986474027183272032362E+0,6.327041700135259728167279676381E-1,1.869790147936837675919232995801E-2,1.869270592225469753969360936871E-2,1.870309815264189125638791071207E-2,1.169163209221769081126916651989E-2,1.168838335639809797763665531142E-2,1.169488152596213711449850437643E-2
2.00000000000000000000E+0,31,31,1,3.433987204485146245929164324542E+0,5.660127955148537540708356754576E-1,5.357250992051007891323295893260E-2,5.356134917827500480899623091012E-2,5.358367238675330819019134586785E-2,3.304150491844395996582654319924E-2,3.303462139329270501956687368243E-2,3.304838950689846546164739459000E-2
2.00000000000000000000E+0,32,2,5,3.465735902799726547086160607291E+0,5.342640972002734529138393927091E-1,8.045033311524868962843791379804E-2,8.043560078282042414190756882810E-2,8.046506739190996642017125617532E-2,9.857761772622482891494199205037E-3,9.855956586518096266553713340835E-3,9.859567196958149782972336814373E-3
2.00000000000000000000E+0,37,37,1,3.610917912644224444368095671031E+0,3.890820873557755556319043289686E-1,3.015365490638613918827548246694E-1,3.015056993253467052244338170688E-1,3.015674006353811835924160685551E-1,1.790015179629640038889769721423E-1,1.789832045941865429878178199821E-1,1.790198324198705730414969266253E-1
2.00000000000000000000E+0,41,41,1,3.713572066704307803866763373037E+0,2.864279332956921961332366269626E-1,5.306326947891459360497306406732E-1,5.305965829166259377602236006635E-1,5.306688078948891244097722523310E-1,3.077470747059935484087136721185E-1,3.077261311734157051643233386433E-1,3.077680189537946203209270623216E-1
2.00000000000000000000E+0,43,43,1,3.761200115693562423472842513346E+0,2.387998843064375765271574866542E-1,6.435840016046265901950658507598E-1,6.435480641770808944795008421166E-1,6.436199398524723564969203905854E-1,3.691453930254741715564847375980E-1,3.691247801205812526348165179914E-1,3.691660064008728693670221187757E-1
2.00000000000000000000E+0,47,47,1,3.850147601710058586820950669772E+0,1.498523982899414131790493302278E-1,8.387557022063804955006288885033E-1,8.387261137135294197296122102881E-1,8.387852904096038451757022945200E-1,4.710466678239042937694408449369E-1,4.710300508746224381077531572195E-1,4.710632846105307124212474146964E-1
2.00000000000000000000E+0,49,7,2,3.891820298110626610210705486886E+0,1.081797018893733897892945131136E-1,9.117268707175823130436883163555E-1,9.117033565966313266314892333181E-1,9.117503839448935088153970591491E-1,2.534483672708264231810511859477E-1,2.534418306470257605189360803520E-1,2.534549036462066946707383581418E-1
2.00000000000000000000E+0,53,53,1,3.970291913552121834144469139029E+0,2.970808644787816585553086097094E-2,9.929724247577063176292997208337E-1,9.929652375203152504248144622447E-1,9.929796102226616995489887105097E-1,5.415289670559333179506468312480E-1,5.415250474131080702011935990877E-1,5.415328857321403174042760098165E-1
